Date,Open,High,Low,Close,Volume
5/12/2020,213.29,215.275,210,210.1,14704647
5/13/2020,209.43,210.78,202.11,205.1,20684559
5/14/2020,202.56,206.93,200.69,206.81,17178947
5/15/2020,205.27,211.34,204.12,210.88,19383154
5/18/2020,212.15,214.6445,210.94,213.19,20167443
5/19/2020,213.27,220.49,212.83,216.88,31843152
5/20/2020,223.5,231.34,223.19,229.97,50162875
5/21/2020,234.72,237.2,231.2,231.39,47782636
5/22/2020,231.51,235.99,228.74,234.91,33925564
5/26/2020,239.77,240.9,231.67,232.2,33178318
5/27/2020,229.07,230.56,221.1347,229.14,34697553
5/28/2020,224.3,231.6332,224,225.46,29423013
5/29/2020,225.2,227.49,222.88,225.09,23322476
6/1/2020,224.59,232.44,223.5,231.91,18223839
6/2/2020,230.94,233,226.56,232.72,20919018
6/3/2020,232.11,232.65,228.53,230.16,15380282
6/4/2020,229.56,231.63,224.61,226.29,17041481
6/5/2020,226.71,231.35,225.3105,230.77,16750438
6/8/2020,229.03,231.55,227.41,231.4,15466499
6/9/2020,231.52,239.77,230.41,238.67,27462872
6/10/2020,240.96,241.21,235.28,236.73,20720709
6/11/2020,229.94,232.89,223.55,224.43,26708163
6/12/2020,229.9,231.66,224.5,228.58,22091387
6/15/2020,225.09,233.77,224.8,232.5,15340264
6/16/2020,237.14,238.46,233,235.65,15236691
6/17/2020,235,237.59,231.7268,235.53,19578125
6/18/2020,234.99,236.14,232.15,235.94,15782452
6/19/2020,237.79,240.83,235.55,238.79,30081291
6/22/2020,238.56,240.7,236.91,239.22,18917782
6/23/2020,241.28,245.1853,239.86,242.24,24017915
6/24/2020,241.2,243.22,232.68,234.02,20834904
6/25/2020,234.62,237.3,232.74,235.68,18704339
6/26/2020,232.64,233.09,215.4,216.08,76343939
6/29/2020,209.75,220.75,207.11,220.64,58514281
6/30/2020,220.59,227.5,218.47,227.07,33927068
7/1/2020,228.5,239,227.56,237.55,43399739
7/2/2020,239,240,232.61,233.42,30633620
7/6/2020,233.76,240.4,232.27,240.28,26206158
7/7/2020,239.41,247.65,238.82,240.86,27887786
7/8/2020,238.11,246.99,236.59,243.58,29791339
7/9/2020,245,246.525,239.24,244.5,22174896
7/10/2020,243.685,245.49,239.32,245.07,22982716
7/13/2020,247.005,250.15,238.42,239,24674874
7/14/2020,236.76,240.33,232.03,239.73,23378056
7/15/2020,241.55,244.82,238.05,240.28,19133562
7/16/2020,238,241.76,236.3306,240.93,18880705
7/17/2020,241,244.16,237.86,242.03,18152413
7/20/2020,240.06,246.05,235.635,245.42,20872223
7/21/2020,246.22,246.91,240.08,241.75,19409687
7/22/2020,240.26,241.9,238.12,239.87,15427885
7/23/2020,239.63,242.42,231.75,232.6,21771802
7/24/2020,230.19,233.49,226.9,230.71,18325813
7/27/2020,231.46,234.95,230.83,233.5,13163083
7/28/2020,234.63,234.96,229.83,230.12,14170112
7/29/2020,231.14,233.7,230.31,233.29,13588317
7/30/2020,230.22,234.893,229,234.5,20615306
7/31/2020,255.82,255.85,249,253.67,53030037
8/3/2020,252.65,255.4,250.33,251.96,23134103
8/4/2020,251.56,252.8,247.43,249.83,17183533
8/5/2020,250.19,252.2698,247.77,249.12,13088361
8/6/2020,249.04,266.6,248.665,265.28,45241611
8/7/2020,264.08,278.89,263.43,268.44,72766364
8/10/2020,268.04,273.86,259.69,263,30248826
8/11/2020,260.185,265.915,255.13,256.13,28238283
8/12/2020,258.97,263.8973,258.1125,259.89,21428329
8/13/2020,261.55,265.16,259.57,261.3,17373970
8/14/2020,262.305,262.65,258.6801,261.24,14792708
8/17/2020,262.5,264.0973,259.4,261.16,13351062
8/18/2020,260.95,265.15,259.26,262.34,18690383
8/19/2020,261.388,267.908,261.35,262.59,23291463
8/20/2020,261.5,269.63,261.46,269.01,20299688
8/21/2020,268.69,270.49,266.42,267.01,15538615
8/24/2020,271.07,277.2478,268.7701,271.39,23685603
8/25/2020,272.41,283.09,270.2601,280.82,42127240
8/26/2020,284,304.67,284,303.91,69015151
8/27/2020,300.16,301.23,292.02,293.22,30301309
8/28/2020,295,297.23,290.98,293.66,17172415
8/31/2020,293.95,296.88,291.55,293.2,17345134
9/1/2020,294.71,301.49,292.71,295.44,17320872
9/2/2020,298.88,303.6,293.05,302.5,24341369
9/3/2020,295.99,297.6,283.63,291.12,32294092
9/4/2020,287.5,289,271.14,282.73,30333671
9/8/2020,271.28,279.3,269.42,271.16,24863997
9/9/2020,275.77,278.48,271.35,273.72,22918769
9/10/2020,275.51,279.16,267.0319,268.09,24814669
9/11/2020,270.06,271.39,262.64,266.61,18913883
9/14/2020,270.95,276.64,265.7,266.15,24093830
9/15/2020,270.67,274.52,269.3,272.42,18478530
9/16/2020,267.29,272.44,261.79,263.52,29207594
9/17/2020,258.28,261.5,250.19,254.82,31281441
9/18/2020,258.405,259.2,250.05,252.53,28130767
9/21/2020,247.54,249.95,244.13,248.15,24709378
9/22/2020,253.31,255.32,248.22,254.75,30293103
9/23/2020,255.26,257.9921,248.15,249.02,19641266
9/24/2020,246.5,252.24,245.62,249.53,20006750
9/25/2020,249.4,255.75,246.61,254.82,18351311
9/28/2020,259.4,259.6,254.8208,256.82,18826254
9/29/2020,257.81,263.33,256.9,261.79,20215504
9/30/2020,261.98,266.085,260.1,261.9,20142546
10/1/2020,265.35,268.33,264.8,266.63,20009801
10/2/2020,261.21,265.15,259.18,259.94,16367597
10/5/2020,262.2,264.865,260.8401,264.65,12822252
10/6/2020,261.78,265.69,258.24,258.66,18696917
10/7/2020,259.21,260.18,254.82,258.12,23133417
10/8/2020,259.75,264.62,259.1488,263.76,16312762
10/9/2020,264.52,264.75,262.17,264.45,14107803
10/12/2020,270.2,280.18,267.87,275.75,31019256
10/13/2020,277.58,279.1,273.39,276.14,18063343
10/14/2020,277.62,278.75,271.5,271.82,15601154
10/15/2020,267.6,269.04,263.67,266.72,15416064
10/16/2020,267.375,271.37,265.3,265.93,16622702
10/19/2020,265.53,268.55,259.88,261.4,13586955
10/20/2020,263.06,269.7,262.88,267.56,18763246
10/21/2020,279.56,283.05,276.37,278.73,28998638
10/22/2020,279.87,282.45,275.04,278.12,16720026
10/23/2020,278.8024,285.24,276.82,284.79,17535155
10/26/2020,283.16,285.23,274.26,277.11,21322925
10/27/2020,278.76,284.51,276.31,283.29,16287249
10/28/2020,278.79,278.79,267.26,267.67,23121808
10/29/2020,276.55,283.6,273.78,280.83,32368118
10/30/2020,274.5,276.7,259.1,263.11,47299002
11/2/2020,264.6,270.47,257.34,261.36,27165679
11/3/2020,263.16,270.05,260.88,265.3,17961859
11/4/2020,281,288.94,278.62,287.38,35364424
11/5/2020,291.8965,297.38,288.95,294.68,23823633
11/6/2020,293.95,294.6,288.06,293.41,13890974
11/9/2020,289.87,292.58,278.53,278.77,25117650
11/10/2020,273.1,274,264,272.43,29067691
11/11/2020,273.47,278.4,272.48,276.48,14956950
11/12/2020,277.18,279.75,274.43,275.08,12914206
11/13/2020,277.72,277.76,273.1,276.95,10400101
11/16/2020,275.05,279.41,274.63,278.96,12970352
11/17/2020,277.68,277.68,273.29,275,15040297
11/18/2020,274.52,277.3889,271.84,271.97,12152945
11/19/2020,271.025,273.47,269.19,272.94,12963658
11/20/2020,272.56,273,269.41,269.7,18122412
11/23/2020,270.89,270.9471,264.53,268.43,20990786
11/24/2020,268.49,277.8199,267.87,276.92,16930424
11/25/2020,278.14,280.18,272.65,275.59,12467009
11/27/2020,277.39,279.13,274.82,277.81,7808426
11/30/2020,276.03,277.7,271.01,276.97,16693336
12/1/2020,279.16,289.3,278.96,286.55,20777906
12/2/2020,285.36,291.78,280.825,287.52,17361624
12/3/2020,286.25,286.65,281.07,281.85,12921694
12/4/2020,280.3,283.46,279.3,279.7,10880299
12/7/2020,279.19,288.49,278.2,285.58,13007665
12/8/2020,286.01,286.4272,281.55,283.4,10747650
12/9/2020,283.66,287.63,271.75,277.92,25189707
12/10/2020,275.535,278.73,271.86,277.12,20065091
12/11/2020,274.53,276.48,270.25,273.55,14391401
12/14/2020,273.3722,277.22,271.56,274.19,16376880
12/15/2020,274.83,276.08,267.47,275.55,23979461
12/16/2020,274.76,277.86,272.51,275.67,15884999
12/17/2020,277.07,280.44,273.61,274.48,16377844
12/18/2020,275.775,278,271.14,276.4,26693249
12/21/2020,272.978,274.67,267.79,272.79,16553740
12/22/2020,271.5,271.5,264.63,267.09,17334999
12/23/2020,266.89,272.1699,266.23,268.11,14329038
12/24/2020,268.875,270.4,266.2,267.4,6702033
12/28/2020,268.74,277.3,265.66,277,23299707
12/29/2020,276.95,280.51,276.28,276.78,16382995
12/30/2020,277.95,278.08,271.71,271.87,11803795
12/31/2020,272,277.09,269.81,273.16,12900408
1/4/2021,274.78,275,265.2,268.94,15106113
1/5/2021,268.29,272.4,268.2111,270.97,9871557
1/6/2021,262,267.75,260.01,263.31,24354149
1/7/2021,265.9,271.61,264.78,268.74,15789756
1/8/2021,268.31,268.95,263.18,267.57,18528251
1/11/2021,260.48,263.47,255.9,256.84,30412286
1/12/2021,256.63,259.72,250.3,251.09,26449943
1/13/2021,251.55,253.95,249.2,251.64,19528938
1/14/2021,253.4,255.03,244.61,245.64,29739404
1/15/2021,247.9,253.86,247.16,251.36,24942930
1/19/2021,256.9,262.2,252.7201,261.1,28028546
1/20/2021,268.93,270.32,263.6,267.48,25199919
1/21/2021,269.26,273.6,267.4901,272.87,20838687
1/22/2021,272.01,278.47,272,274.5,21954042
1/25/2021,278.14,280.1,271.51,278.01,19086990
1/26/2021,278.1398,285.39,277.81,282.05,19373636
1/27/2021,282.53,283.45,268.1201,272.14,35346194
1/28/2021,277.18,286.79,264.7,265,37758844
1/29/2021,265.3,266.56,254.85,258.33,30389499
2/1/2021,259.52,264.17,254.91,262.01,22914255
2/2/2021,264,268.85,263.27,267.08,17320788
2/3/2021,265.62,269.2,263.84,266.65,14223377
2/4/2021,267.01,268.16,264,266.49,16059958
2/5/2021,266.8,269.17,265.67,268.1,12454367
2/8/2021,268.75,269.86,265,266.58,13755191
2/9/2021,266.44,273.39,265.75,269.45,14613375
2/10/2021,272.4465,273.7999,267.72,271.87,14687152
2/11/2021,271.89,273.58,268.49,270.39,12828572
2/12/2021,270.52,271.18,268.34,270.5,9097597
2/16/2021,270.8,276.6,270.05,273.97,15417243
2/17/2021,271.24,273.97,269.58,273.57,12763240
2/18/2021,269.565,271.95,266.03,269.39,15249134
2/19/2021,269.86,270.27,260.15,261.56,25622587
2/22/2021,257.95,263.07,257.53,260.33,17434873
2/23/2021,259.5,267.46,254.96,265.855,21924557
2/24/2021,262.325,266.38,258.39,264.31,15736123
2/25/2021,262.3,266.94,254.04,254.69,19053142
2/26/2021,256.47,265.55,256.47,257.62,26619517
3/1/2021,260.82,266.65,257.9039,264.91,22157255
3/2/2021,265.78,266.71,258.65,259,15191722
3/3/2021,260.29,260.9899,255.1,255.41,15513515
3/4/2021,256.47,266.49,253.5,257.64,31626463
3/5/2021,260.67,265.45,255.61,264.28,26820055
3/8/2021,265.55,265.58,255.05,255.31,18391768
3/9/2021,261.175,268.53,259.81,265.74,22039740
3/10/2021,268.64,268.97,262.87,264.9,14210318
3/11/2021,268.11,277.9,267.82,273.88,21833979
3/12/2021,269.14,269.74,264.02,268.4,20600198
3/15/2021,269.08,275.96,268.5,273.75,16856746
3/16/2021,276.085,282.14,274.8,279.28,22437665
3/17/2021,275.705,286.23,275.41,284.01,21315044
3/18/2021,279.87,285.1899,278.28,278.62,18754853
3/19/2021,281.22,292.8,281.195,290.11,38930536
3/22/2021,290.45,299.705,286.7501,293.54,28273073
3/23/2021,293.15,298,289.81,290.63,23000929
3/24/2021,291,291.72,281.16,282.14,18675046
3/25/2021,280.98,288.06,277.75,278.74,24505648
3/26/2021,278.3018,284.5,277.77,283.02,17629185
3/29/2021,285.77,293.18,284.7,290.82,21718831
3/30/2021,289.83,292.47,286.7,288,17474537
3/31/2021,289.99,296.5,288.61,294.53,19498157
4/1/2021,298.4,302.4,296.6,298.66,17615980
4/5/2021,300.89,310.765,300.68,308.91,28237006
4/6/2021,308.8365,311.35,305.25,306.26,17335246
4/7/2021,306.34,314.25,305.5,313.09,22855241
4/8/2021,314.85,315.88,310.05,313.02,20894148
4/9/2021,311.4,314.74,310.33,312.46,15988568
4/12/2021,311.05,312.15,307.93,311.54,10881935
4/13/2021,312.21,314.428,309.32,309.76,14036927
4/14/2021,307.3,308.03,301.95,302.82,17421393
4/15/2021,306.34,310.14,304.1,307.82,14558273
4/16/2021,308.17,308.95,304.61,306.18,13059163
,,,,,
